0.122,0.101,-0.020999999999999,0.142,0.182,0.04,0.181,0.14,-0.041,0.162,0.165,0.003,0.089,0.199,0.11,0.192,0.121,-0.071,3.619
0.122,0.201,0.079000000000002,0.124,0.173,0.049,0.172,0.141,-0.030999999999998,0.111,0.141,0.030000000000002,0.102,0.191,0.088999999999998,0.172,0.081000000000002,-0.090999999999998,2.892
0.112,0.132,0.019999999999998,0.121,0.16,0.038999999999998,0.182,0.131,-0.051,0.121,0.142,0.020999999999998,0.091000000000002,0.171,0.08,0.181,0.1,-0.080999999999998,0.192
0.092,0.111,0.019,0.122,0.201,0.079,0.142,0.071,-0.071,0.181,0.201,0.02,0.082,0.161,0.079,0.165,0.161,-0.004,0.162
0.131,0.134,0.003,0.098,0.187,0.089,0.154,0.112,-0.042,0.132,0.152,0.02,0.101,0.15,0.049,0.165,0.161,-0.004,0.163
0.122,0.161,0.039,0.112,0.201,0.089,0.154,0.113,-0.041,0.131,0.134,0.003,0.088,0.208,0.12,0.142,0.081,-0.061,0.212
0.121,0.151,0.03,0.122,0.162,0.040000000000004,0.181,0.13,-0.051,0.132,0.161,0.029000000000004,0.081999999999996,0.182,0.1,0.152,0.07,-0.082000000000004,0.212
0.124,0.127,0.0029999999999964,0.127,0.187,0.06,0.151,0.09,-0.061,0.163,0.166,0.003,0.107,0.217,0.11,0.142,0.050000000000004,-0.092,0.21299999999999
0.122,0.18100000000001,0.059000000000007,0.12399999999999,0.17299999999999,0.049,0.152,0.091,-0.061,0.131,0.151,0.02,0.081,0.192,0.111,0.041,0.09,0.049,0.192
0.131,0.161,0.03,0.111,0.193,0.082,0.161,0.09,-0.071,0.15200000000001,0.171,0.018999999999993,0.091,0.22200000000001,0.13100000000001,0.14199999999999,0.07,-0.071999999999993,0.192

