0.121,0.251,0.13,0.102,0.203,0.101,0.101,0.251,0.15,0.091999999999999,0.193,0.101,0.091000000000001,0.22,0.129,0.102,0.263,0.161,0.121
0.112,0.253,0.141,0.112,0.232,0.12,0.091000000000002,0.221,0.13,0.072000000000002,0.192,0.12,0.091000000000002,0.231,0.14,0.092,0.263,0.171,0.101
0.131,0.251,0.12,0.101,0.191,0.09,0.091999999999998,0.242,0.15,0.092000000000002,0.161,0.068999999999998,0.101,0.212,0.111,0.111,0.514,0.403,0.090999999999998
0.112,0.222,0.11,0.111,0.191,0.08,0.091999999999998,0.373,0.281,0.080999999999998,0.262,0.181,0.091,0.181,0.089999999999998,0.081,0.312,0.231,0.091999999999998
0.092000000000004,0.163,0.070999999999996,0.081,0.221,0.14,0.062,0.141,0.079000000000004,0.082999999999996,0.132,0.049,0.121,0.241,0.12,0.122
0.122,0.322,0.2,0.082,0.172,0.09,0.081,0.261,0.18,0.091999999999996,0.244,0.152,0.091,0.281,0.19,0.081000000000004,0.534,0.453,0.081999999999996
0.162,1.653,1.491,0.081,0.221,0.14,0.081,0.223,0.142,0.070999999999996,0.151,0.080000000000004,0.081,0.232,0.151,0.071,0.241,0.17,0.121
0.132,0.293,0.161,0.081,0.171,0.09,0.081000000000004,0.191,0.11,0.083,0.133,0.05,0.081,0.231,0.15,0.090999999999996,0.252,0.161,0.131
0.111,0.241,0.13,0.111,0.162,0.051000000000004,0.081,0.191,0.11,0.071,0.13,0.058999999999996,0.072000000000004,0.182,0.11,0.093,0.223,0.13,0.071
0.112,0.253,0.141,0.071,0.221,0.15,0.071,0.252,0.181,0.071,0.241,0.17,0.082,0.221,0.139,0.093999999999993,0.334,0.24000000000001,0.081
